                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2257,                 1.6146,                 1.2737,                0.64521,                0.53308,                0.61445,                0.45577,                 1.0816,                 1.1197,                 1.1247,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2223,                 1.5098,                 1.2661,                0.67851,                0.54576,                0.63148,                0.47011,                 1.0796,                 1.0959,                  1.124,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.2013,                 1.4203,                  1.217,                0.68208,                0.55183,                  0.643,                0.48055,                 1.0763,                 1.0729,                 1.1233,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2349,                 1.4718,                 1.2512,                0.69054,                0.57508,                0.65527,                0.49039,                 1.0676,                 1.0496,                 1.1155,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1495,                 1.2767,                 1.2153,                0.70024,                0.60257,                0.67541,                0.50749,                  1.051,                 1.0296,                 1.1039,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1078,                 1.3091,                 1.1914,                0.70329,                0.63167,                 0.6886,                0.51339,                 1.0386,                0.99988,                 1.0929,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1109,                 1.1681,                 1.1897,                0.72016,                0.64717,                0.69138,                0.51572,                 1.0333,                0.97855,                 1.0898,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1232,                 1.1773,                 1.1972,                0.73403,                 0.6558,                0.70268,                0.52749,                 1.0268,                0.94629,                 1.0887,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  1.052,                 1.1018,                 1.1474,                0.73239,                0.64449,                0.71122,                 0.5359,                 1.0171,                0.91909,                 1.0819,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0772,                 1.1521,                 1.1884,                0.73182,                0.66584,                0.71946,                  0.541,                 1.0125,                 0.9029,                 1.0799,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0451,                 1.0744,                 1.1458,                0.72243,                0.68526,                0.73088,                 0.5559,                 1.0098,                 0.8815,                  1.078,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0949,                 1.1191,                 1.1894,                0.73919,                 0.6832,                0.73868,                0.56289,                 1.0065,                0.86445,                 1.0728,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0508,                 1.0547,                 1.1497,                0.78056,                0.68247,                0.74831,                0.56995,                0.99467,                0.84393,                  1.064,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0305,                 1.0616,                  1.165,                0.82837,                0.66669,                0.75526,                0.57607,                0.98833,                0.82522,                 1.0597,             0.00010486,             0.00010486,             0.00010486
                     15,                0.99024,                 1.0042,                 1.1349,                0.81726,                0.66362,                0.75888,                0.58125,                0.98172,                0.81269,                 1.0581,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0281,                 1.0091,                 1.1333,                0.83342,                0.65676,                 0.7742,                0.59597,                0.97283,                0.79848,                 1.0522,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0562,                  1.047,                 1.1479,                0.83902,                 0.6679,                0.78018,                0.60225,                0.96486,                0.78395,                 1.0467,             0.00010133,             0.00010133,             0.00010133
                     18,                  1.074,                0.98526,                 1.1317,                0.77131,                0.72902,                0.78823,                0.61324,                0.95932,                0.77965,                 1.0414,             0.00010015,             0.00010015,             0.00010015
                     19,                0.97767,                0.93923,                 1.1227,                0.83558,                0.71038,                0.79732,                0.62289,                0.94801,                0.76955,                 1.0359,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 1.0135,                0.99073,                 1.1395,                0.85683,                0.70387,                0.81221,                0.63143,                0.93225,                0.75151,                 1.0293,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                  1.024,                0.92167,                 1.1273,                0.84684,                0.71619,                0.81685,                 0.6323,                0.92054,                0.73434,                 1.0243,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0106,                0.90236,                 1.1074,                0.84437,                0.72612,                 0.8211,                0.63336,                 0.9128,                0.71985,                 1.0201,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.98541,                0.92688,                 1.1362,                0.87051,                0.71652,                0.82398,                0.63642,                0.90961,                0.71171,                 1.0191,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.98861,                0.93941,                 1.1134,                 0.8539,                0.72236,                0.81533,                0.63855,                0.90502,                0.70485,                 1.0157,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.97369,                0.87794,                 1.1111,                0.84841,                0.73261,                0.82498,                 0.6435,                 0.8973,                0.69966,                 1.0108,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 1.0052,                 0.9191,                 1.1104,                0.84385,                0.73879,                0.82352,                0.64638,                0.89249,                0.69422,                 1.0074,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.97281,                 0.8972,                 1.1131,                0.84585,                   0.74,                0.82764,                0.65286,                0.88667,                0.68444,                 1.0024,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.98249,                0.87234,                 1.1114,                0.79365,                0.77029,                0.82901,                0.65439,                0.87998,                0.67399,                0.99768,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 1.0483,                0.92768,                 1.1079,                 0.8009,                0.77323,                0.83276,                0.66102,                0.87003,                 0.6682,                0.99311,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                 0.9475,                0.83157,                 1.0889,                0.86501,                0.73792,                 0.8328,                0.66327,                0.86171,                 0.6629,                0.98851,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.93448,                  0.852,                 1.0871,                0.87666,                0.73856,                0.83644,                0.66503,                0.85782,                0.66363,                0.98591,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.93321,                0.87388,                 1.0675,                0.85823,                0.75047,                0.83649,                0.66764,                0.85281,                0.65872,                0.98354,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.95707,                0.88867,                 1.1074,                  0.843,                 0.7574,                0.84008,                0.66869,                0.84359,                0.65157,                0.98178,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.91845,                0.83095,                 1.0738,                0.84119,                0.76068,                  0.842,                0.67498,                0.83432,                0.64403,                0.97831,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.93835,                0.87257,                 1.1115,                0.83171,                0.77308,                 0.8486,                0.68261,                0.82901,                0.63577,                 0.9753,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.92683,                0.82891,                 1.0903,                0.84274,                   0.76,                 0.8466,                0.68147,                0.82425,                0.62926,                0.97229,             7.8945e-05,             7.8945e-05,             7.8945e-05
